Name,Year,Votes,NumBallots,p,YoB,PosSummary,position,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,all.star,drugs,rookie,gold.gloves,mvp,cy.young
Rich Gossage,2008,466,543,0.858195212,9,*1/D,P,126,19,22,39.4,31,35.2,32.3,1003,85,1,9,0,2,0,4,0.106,0.146,0.118,0.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,9,0,0,0,0,0
Jim Rice,2008,392,543,0.721915285,14,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Andre Dawson,2008,358,543,0.659300184,7,*9*8D7,RF,118,44,21,60.6,41,50.8,54.8,2627,9927,1373,2774,438,1591,314,589,0.279,0.323,0.482,0.806,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,8,1,0
Bert Blyleven,2008,336,543,0.61878453,11,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
Lee Smith,2008,235,543,0.432780847,6,*1,P,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,7,0,0,0,0,0
Jack Morris,2008,233,543,0.429097606,9,*1/D,P,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,5,0,0,0,0,0
Tommy John,2008,158,543,0.290976059,14,*1,P,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,4,0,0,0,0,0
Tim Raines,2008,132,543,0.243093923,1,*78D4/9,LF,90,47,23,66.2,41.1,53.7,50.7,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0
Mark McGwire,2008,128,543,0.23572744,2,*3D/59,1B,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1,1,0,0
Alan Trammell,2008,99,543,0.182320442,7,*6D5/478,SS,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,4,0,0
Dave Concepcion,2008,88,543,0.162062615,15,*6453/81,SS,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,9,0,0,5,0,0
Don Mattingly,2008,86,543,0.158379374,8,*3D97/548,1B,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,9,1,0
Dave Parker,2008,82,543,0.151012891,12,*9*D78/34,RF,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,3,1,0
Dale Murphy,2008,75,543,0.138121547,10,*8*9372,CF,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,5,2,0
Harold Baines,2008,28,543,0.051565378,2,*D*98/7,DH,66,44,22,34,19.9,26.9,55.4,2830,9908,1299,2866,384,1628,34,1062,0.289,0.356,0.465,0.82,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0
Robb Nen,2008,2,543,0.003683241,1,*1,P,92,15,10,14.4,14.5,14.5,32.3,643,15,0,1,0,0,0,0,0.067,0.067,0.067,0.133,-64,45,42,2.98,139,1.213,643,4,314,715,607,51,260,793,3,0,0,0,0,0
Travis Fryman,2008,2,543,0.003683241,1,*5*6/D3,3B,36,26,13,31.2,26.4,28.8,53.4,1698,6481,895,1776,223,1022,72,602,0.274,0.336,0.443,0.779,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,1,0,0
Rod Beck,2008,2,543,0.003683241,1,*1,P,63,13,13,10.7,11,10.9,32.3,704,19,0,4,0,1,0,0,0.211,0.211,0.211,0.421,16,38,45,3.3,124,1.164,704,0,286,768,703,97,191,644,3,0,0,0,0,0
Todd Stottlemyre,2008,1,543,0.001841621,1,*1,P,15,13,14,20.5,18.6,19.5,57.9,373,242,23,50,1,11,1,28,0.207,0.289,0.256,0.545,44,138,121,4.28,100,1.376,372,339,1,2191.2,2200,246,816,1587,0,0,0,0,0,0
David Justice,2008,1,543,0.001841621,1,*9*D*73/8,RF,42,29,14,37.6,26.1,31.8,55.4,1610,5625,929,1571,305,1017,53,903,0.279,0.378,0.5,0.878,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0
Chuck Knoblauch,2008,1,543,0.001841621,1,*47D/68,2B,68,33,12,42,37,39.5,54.4,1632,6366,1132,1839,98,615,407,804,0.289,0.378,0.406,0.783,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,0,0
Shawon Dunston,2008,1,543,0.001841621,1,*6789/43D5,SS,14,18,18,9.1,10,9.6,52.1,1814,5927,736,1597,150,668,212,203,0.269,0.296,0.416,0.712,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
Chuck Finley,2008,1,543,0.001841621,1,*1,P,54,27,17,53.7,37.5,45.6,57.9,524,53,3,3,0,1,0,0,0.057,0.057,0.075,0.132,-66,200,173,3.85,115,1.376,524,467,0,3197.1,3069,304,1332,2610,5,0,0,0,0,0
Brady Anderson,2008,0,543,0,1,*8*79D,CF,38,26,15,32.2,28.7,30.4,54.8,1834,6499,1062,1661,210,761,315,960,0.256,0.362,0.425,0.787,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0
Jose Rijo,2008,0,543,0,2,*1,P,28,20,14,34.4,35.9,35.2,57.9,377,445,25,85,2,29,2,8,0.191,0.205,0.234,0.439,20,116,91,3.24,121,1.262,376,269,3,1880,1710,147,663,1606,1,0,0,0,0,0
Cal Ripken,2007,537,545,0.985321101,1,*6*5/D,SS,236,58,21,90.9,54.6,72.8,52.1,3001,11551,1647,3184,431,1695,36,1129,0.276,0.34,0.447,0.788,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,1,2,2,0
Tony Gwynn,2007,532,545,0.976146789,1,*987/D,RF,279,54,20,65.3,39.6,52.5,55.4,2440,9288,1383,3141,135,1138,319,790,0.338,0.388,0.459,0.847,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,5,0,0
Rich Gossage,2007,388,545,0.711926606,8,*1/D,P,126,19,22,39.4,31,35.2,32.3,1003,85,1,9,0,2,0,4,0.106,0.146,0.118,0.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,9,0,0,0,0,0
Jim Rice,2007,346,545,0.634862385,13,*7*D9/8,LF,146,43,16,44.3,34.6,39.5,50.7,2089,8225,1249,2452,382,1451,58,670,0.298,0.352,0.502,0.854,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,1,0
Andre Dawson,2007,309,545,0.566972477,6,*9*8D7,RF,118,44,21,60.6,41,50.8,54.8,2627,9927,1373,2774,438,1591,314,589,0.279,0.323,0.482,0.806,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,8,1,0
Bert Blyleven,2007,260,545,0.47706422,10,*1,P,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,2,0,0,0,0,0
